model,n,mae,rmse,skill_vs_B1
N-HiTS,7920,23.44684084344151,129.96986225591797,0.32026380688307954
N-HiTS_operational,8664,20.901882802808274,33.83818098327893,0.4088446196114315
B2_daily_naive,8757,28.497523124357656,45.17691743637816,0.20137424807055904
B1_weekly_naive,8757,35.68320086787713,54.91099482308519,0.0
