strategy,days,days_traded,revenue_eur,revenue_per_traded_day,share_of_perfect,loss_making_days
perfect_foresight,365,365,74826.245,205.00341095890408,1.0,0
champion_rule_A,365,330,58375.10549999999,176.89425909090906,0.7801421212570535,5
baseline_rule_A,365,365,66521.4535,182.25055753424658,0.8890123178037332,11
champion_rule_B,365,264,38712.447,146.6380568181818,0.5173645557117025,5
baseline_rule_B,365,299,46492.795,155.49429765886288,0.6213434203466979,11
