model,fold,regime,n,mae,rmse,bias,skill,pinball,coverage,nominal_coverage,interval_width
ARIMA,2020-10,pre-crisis,745,9.006275503883922,13.025046925483915,2.9021986184724273,0.18304408726710508,4.827495232712398,0.6993288590604027,0.8,25.546180295045804
ARIMA,2020-11,pre-crisis,720,8.701286413505633,11.817336676420155,-2.1015288784023785,0.3006958278202375,3.9248797245959057,0.7361111111111112,0.8,25.578430724888577
ARIMA,2020-12,pre-crisis,744,11.922932142365205,17.345827516191093,0.25270164012239466,0.16811135842632718,5.129895532588133,0.7096774193548387,0.8,25.664828490453523
ARIMA,2021-01,pre-crisis,744,9.332599925767482,12.49616521624971,-3.86966093856453,0.34455521359597796,5.617473132354446,0.4825268817204301,0.8,25.947027204588082
ARIMA,2021-02,pre-crisis,672,8.95005508854905,12.45445203308236,0.8618961702763237,0.35688295676491344,4.18534322715174,0.7142857142857143,0.8,25.968984601996453
ARIMA,2021-03,pre-crisis,741,11.429826358965094,15.770588450280913,-0.0988255599103621,0.2512578784337962,5.484027463184767,0.6032388663967612,0.8,26.052703275082095
ARIMA,2021-04,pre-crisis,719,12.93118287279414,18.07691245644856,-3.340041513397314,0.29622353620578545,6.680561410431325,0.4617524339360223,0.8,26.456377046980755
ARIMA,2021-05,pre-crisis,744,17.70876622693447,23.698359550297145,0.3683900233550791,0.21128619926229408,7.754287877244623,0.45161290322580644,0.8,26.82900702985566
ARIMA,2021-06,pre-crisis,720,14.237286371627432,18.520916121059106,-7.653770165176133,-0.13694399017448156,9.769578983862244,0.25,0.8,27.611889815296742
ARIMA,2021-07,pre-crisis,744,13.15144133181977,18.689842900878784,-0.06269096894216848,-0.0006056347563758724,6.489265524881301,0.4798387096774194,0.8,28.012601774152806
ARIMA,2021-08,pre-crisis,744,15.693550532017005,21.238756096337166,-4.1070231431667406,0.2033371954811668,8.159901802622391,0.41935483870967744,0.8,28.351629872125326
ARIMA,2021-09,crisis,720,23.886947804420195,29.71571844179258,-12.837639356475602,0.006772834000781991,19.715713477400424,0.1375,0.8,29.018392810821467
ARIMA,2021-10,crisis,744,43.43650587703597,56.61462623941564,0.5427222338882165,0.27310113786112944,22.86664947543529,0.17069892473118278,0.8,30.163593894161046
ARIMA,2021-11,crisis,720,48.429553256214085,60.6172377929437,-15.80612443216353,0.13281469394777834,32.24155293975565,0.13472222222222222,0.8,31.852517115368133
ARIMA,2021-12,crisis,744,74.96150557903523,91.6013201515519,-2.587340741757876,0.29344796142725094,41.62454280256073,0.14381720430107528,0.8,33.58257758091632
ARIMA,2022-01,crisis,744,54.03430782045458,66.82482473222863,3.1190710200742684,0.3257752867708007,25.2403414617648,0.14516129032258066,0.8,36.038807842922786
ARIMA,2022-02,crisis,672,45.5894119575011,57.34280821266916,9.279493453415244,0.33072598780907647,29.6885337685346,0.1636904761904762,0.8,38.38708793883037
ARIMA,2022-03,crisis,741,71.88448644607939,92.23994798226616,-22.122113638881324,0.43839842331291146,59.910499017910396,0.05668016194331984,0.8,40.62785637130947
ARIMA,2022-04,crisis,719,50.48141173230051,65.08898507413956,7.8530727602414325,0.3526068636058881,28.086712417321127,0.36300417246175243,0.8,43.300388837492115
ARIMA,2022-05,crisis,744,35.44156595956757,49.65058669142543,3.26550631822949,0.19058195182516724,18.48989021812149,0.3682795698924731,0.8,45.78188042899807
ARIMA,2022-06,crisis,720,41.515368662488214,57.240419021806275,-17.468976902181996,0.2921844356931038,29.66996412022762,0.3277777777777778,0.8,47.392380439155914
ARIMA,2022-07,crisis,744,74.06693190711944,96.39441851992859,-21.2561977450457,-0.04174869348771115,52.19530632418919,0.12768817204301075,0.8,49.14764640099405
ARIMA,2022-08,crisis,744,80.45876073442177,107.39176049210408,-37.72466937833505,0.1465572700583524,71.1189414328438,0.12231182795698925,0.8,52.09967236741031
ARIMA,2022-09,crisis,720,76.80205430142244,103.3525984100383,32.160803262493914,0.4583228077258623,106.20044506606347,0.027777777777777776,0.8,55.98601440053823
ARIMA,2022-10,crisis,745,53.678998835321835,78.90216347994924,32.249803523502344,0.44279134350720506,89.05487923539526,0.021476510067114093,0.8,58.98822721928923
ARIMA,2022-11,crisis,720,48.57728665775635,62.51326898147322,-17.76517417601992,0.27955823897039855,31.26654437956121,0.35,0.8,61.62429095451917
ARIMA,2022-12,crisis,744,63.311496312671025,77.0264043816348,20.067709220491622,0.4531655216567828,57.830874397044745,0.11827956989247312,0.8,64.42401345211915
ARIMA,2023-01,post-crisis,744,36.41929262443693,46.72077080982123,-4.572717826449835,0.4061570825777272,24.380350003708443,0.3225806451612903,0.8,68.6139339699743
ARIMA,2023-02,post-crisis,672,26.6831025239022,33.90129886627088,0.48095073843214375,0.27661726343022075,12.14419339994287,0.6651785714285714,0.8,70.30226791879196
ARIMA,2023-03,post-crisis,741,23.60013312838156,31.077266367946986,4.41704006080831,0.2914170910431788,14.207838261085387,0.6437246963562753,0.8,70.99576191648475
ARIMA,2023-04,post-crisis,719,20.856049438467053,29.854061781920567,-0.0030175519820083065,0.34585597330911655,10.627239063787105,0.713490959666203,0.8,71.27101466968539
ARIMA,2023-05,post-crisis,744,20.699277523534565,29.31693668894202,2.9466898625048117,-0.010216955317666088,9.40812504997599,0.7889784946236559,0.8,71.16923087803036
ARIMA,2023-06,post-crisis,720,17.954194758870877,23.945387208278575,-4.3619037249524375,0.1600627774356952,12.91415793790095,0.5986111111111111,0.8,71.16778148991634
ARIMA,2023-07,post-crisis,744,29.337055143378098,48.15502777645543,3.2807314645454055,0.07916749875868323,13.560479391109888,0.7352150537634409,0.8,70.6504645609384
ARIMA,2023-08,post-crisis,744,21.478603028586264,28.7586713681888,-3.8921692910553274,0.2902334909823606,13.167525587118405,0.6129032258064516,0.8,71.29587181049418
ARIMA,2023-09,post-crisis,720,21.24998432685823,36.44980899278635,1.1504542963929685,0.19417547946131253,9.203021409659982,0.8388888888888889,0.8,71.26446920958084
ARIMA,2023-10,post-crisis,745,35.8328687079933,46.69336348146211,0.4650070433072973,-0.033283435271074024,15.17392508912537,0.5597315436241611,0.8,71.15865937836804
ARIMA,2023-11,post-crisis,720,25.83461908370477,33.65752881033717,-3.6199426061001394,0.3829419221242648,12.085594556486555,0.6875,0.8,72.22574092147725
ARIMA,2023-12,post-crisis,744,21.426308682617247,27.12540149764688,10.97716847216906,0.35746257273894144,25.513967322148538,0.3911290322580645,0.8,72.53952881141302
ARIMA,2024-01,post-crisis,744,17.923660120079944,22.14263040142294,-4.937396341767117,0.48557359197100125,20.42386060775879,0.271505376344086,0.8,72.53312228738093
ARIMA,2024-02,post-crisis,696,12.561326325913853,17.32882957904491,1.0498615830365203,0.3763249474899759,6.250488076537531,0.9094827586206896,0.8,71.97547718051695
ARIMA,2024-03,post-crisis,745,15.455062950640206,21.34047919658612,0.8557979158704699,0.07187349175884605,6.795537040378231,0.8845637583892617,0.8,71.28890595933956
ARIMA,2024-04,post-crisis,718,27.418780391914645,35.675797352215646,-1.1247494056426766,0.08468638038756904,11.230644308671959,0.6852367688022284,0.8,70.83486762871858
ARIMA,2024-05,post-crisis,744,23.750012024709275,32.01723779630422,-1.4564177084568761,0.3068124590733692,10.414527026215493,0.7419354838709677,0.8,71.404641470411
ARIMA,2024-06,post-crisis,720,28.620114924530156,37.674288865741424,1.8567035192116073,-0.26587810146456015,11.033844468731523,0.7263888888888889,0.8,71.53509190239056
ARIMA,2024-07,post-crisis,744,25.492373461934914,34.03109284493318,-0.6863729441432943,0.10278588306710934,10.1777443311991,0.75,0.8,71.92984712127003
ARIMA,2024-08,post-crisis,744,23.660648523099695,31.856752981519598,-1.117110162767901,0.22478899538726493,9.910325105102167,0.7459677419354839,0.8,72.21620836660922
ARIMA,2024-09,post-crisis,720,27.193110120194756,42.68227143568239,3.14961487213385,0.19590857193910838,12.458980397822673,0.6958333333333333,0.8,72.36042412017063
ARIMA,2024-10,post-crisis,745,28.718992763984836,38.26491102186606,-5.942617009210732,0.0989264258948469,16.549968169216964,0.40671140939597317,0.8,72.55290297926597
ARIMA,2024-11,post-crisis,720,31.93590408100865,51.63639660136617,-0.1488503453333572,0.09234106240575668,13.923337990363999,0.7472222222222222,0.8,73.02102222577655
ARIMA,2024-12,post-crisis,744,43.80678362336202,75.24910473648248,1.8384759285776116,0.408599717007867,20.58503375185107,0.6155913978494624,0.8,73.51022611524026
ARIMA,2025-01,post-crisis,744,34.611872297729704,52.72626356697015,-4.397215344057368,0.3643140007763416,18.711917806666904,0.48655913978494625,0.8,74.07815230986543
ARIMA,2025-02,post-crisis,672,20.180761119255244,26.535293695352717,0.2946591618632903,0.46866225270049655,9.306498201446809,0.7872023809523809,0.8,74.64427282034171
ARIMA,2025-03,post-crisis,742,24.894776080597374,36.29642989511462,4.659392169687109,0.30291154684673915,15.054046802557044,0.6846361185983828,0.8,74.4527801944948
ARIMA,2025-04,post-crisis,718,22.420731086008058,30.868851805251865,1.9991072363151758,0.15056228281336714,11.198191082802774,0.7479108635097493,0.8,74.52980812647364
ARIMA,2025-05,post-crisis,744,22.026832986467387,33.23902675235785,1.5554493340925435,0.209278895210803,9.555706674493436,0.8333333333333334,0.8,74.447914243592
ARIMA,2025-06,post-crisis,720,23.37490724713208,32.29742113211957,-0.9062488396102308,0.16499881333431754,8.817103390223851,0.8152777777777778,0.8,74.50269539687325
ARIMA,2025-07,post-crisis,744,16.05733086957262,27.082414584419524,-1.9688251441748246,0.14778092285421196,10.764069459201451,0.7002688172043011,0.8,74.47121035739167
ARIMA,2025-08,post-crisis,744,18.058685285131,25.896859530050012,0.8938751795766763,0.09953958130234519,9.078668604245134,0.7889784946236559,0.8,74.1393341194932
B1_weekly_naive,2020-10,pre-crisis,745,11.024187919463088,15.485758220087472,2.876,0.0,4.447990902311708,0.7691275167785235,0.8,32.202
B1_weekly_naive,2020-11,pre-crisis,720,12.442777777777776,16.140512762060016,-4.798305555555555,0.0,5.005958641975308,0.7111111111111111,0.8,32.39100000000001
B1_weekly_naive,2020-12,pre-crisis,744,14.332365591397847,20.499671955151314,4.346639784946236,0.0,6.0396495221027475,0.6814516129032258,0.8,32.81999999999999
B1_weekly_naive,2021-01,pre-crisis,744,14.238575268817204,20.25158390194788,-5.228897849462365,0.0,5.911957855436082,0.7016129032258065,0.8,33.297000000000004
B1_weekly_naive,2021-02,pre-crisis,672,13.916681547619048,18.551961233923493,2.4101041666666663,0.0,5.597150892857143,0.6994047619047619,0.8,33.712999999999994
B1_weekly_naive,2021-03,pre-crisis,741,15.265371120107964,21.200699909511744,0.1337921727395413,0.0,6.363554730844204,0.680161943319838,0.8,34.102000000000025
B1_weekly_naive,2021-04,pre-crisis,719,18.37399165507649,26.777506139457397,-3.0979415855354655,0.0,7.695364704064287,0.6453407510431154,0.8,34.6
B1_weekly_naive,2021-05,pre-crisis,744,22.45271505376344,31.707487760898477,-0.9812096774193548,0.0,9.685155615292713,0.5618279569892473,0.8,35.20100000000002
B1_weekly_naive,2021-06,pre-crisis,720,12.522416666666668,19.4225155925911,-5.6531666666666665,0.0,5.185733487654321,0.8194444444444444,0.8,36.197
B1_weekly_naive,2021-07,pre-crisis,744,13.143481182795698,20.289362880636507,4.695577956989248,0.0,5.562199492234169,0.7594086021505376,0.8,36.10699999999999
B1_weekly_naive,2021-08,pre-crisis,744,19.699112903225807,27.182693428779473,-6.398145161290322,0.0,8.141932467144564,0.6115591397849462,0.8,36.363
B1_weekly_naive,2021-09,crisis,720,24.049833333333336,32.041416405611315,-8.385055555555555,0.0,9.950494135802469,0.48055555555555557,0.8,37.15
B1_weekly_naive,2021-10,crisis,744,59.75591397849462,78.32635616547785,-0.014086021505375758,0.0,27.6178890083632,0.2620967741935484,0.8,38.37000000000001
B1_weekly_naive,2021-11,crisis,720,55.846833333333336,71.40606167273974,-19.73277777777778,0.0,25.52445401234568,0.2916666666666667,0.8,40.583999999999996
B1_weekly_naive,2021-12,crisis,744,106.094811827957,135.44554460455984,20.473360215053763,0.0,50.25023972520907,0.11559139784946236,0.8,42.73800000000003
B1_weekly_naive,2022-01,crisis,744,80.14287634408602,97.21852616988781,-9.844086021505372,0.0,37.227953703703704,0.17338709677419356,0.8,46.06
B1_weekly_naive,2022-02,crisis,672,68.11770833333333,89.34245817159307,2.04098214285714,0.0,31.281863095238098,0.28273809523809523,0.8,49.339999999999996
B1_weekly_naive,2022-03,crisis,741,127.9990823211876,154.8146779875147,-15.074170040485829,0.0,60.750068556005395,0.13630229419703105,0.8,51.97400000000002
B1_weekly_naive,2022-04,crisis,719,77.97643949930459,95.5926902920615,4.4783866481223935,0.0,35.664973512594656,0.24200278164116829,0.8,56.40899999999999
B1_weekly_naive,2022-05,crisis,744,43.78647849462366,64.10601864577852,17.11575268817204,0.0,19.472267383512545,0.5403225806451613,0.8,59.86400000000002
B1_weekly_naive,2022-06,crisis,720,58.65280555555556,77.19350794522094,-36.13352777777778,0.0,26.094293209876547,0.38333333333333336,0.8,61.47000000000001
B1_weekly_naive,2022-07,crisis,744,71.0986559139785,91.78141492154063,-21.15481182795699,0.0,31.832294802867384,0.2956989247311828,0.8,64.21000000000002
B1_weekly_naive,2022-08,crisis,744,94.27552419354838,111.55575305371624,-50.64307795698925,0.0,42.785977150537626,0.15725806451612903,0.8,68.38200000000003
B1_weekly_naive,2022-09,crisis,720,141.78565277777776,181.62646007480728,64.29023611111111,0.0,67.09840169753086,0.2152777777777778,0.8,74.664
B1_weekly_naive,2022-10,crisis,745,96.33554362416109,130.0893858026991,47.73548993288591,0.0,44.27849515287099,0.2738255033557047,0.8,79.688
B1_weekly_naive,2022-11,crisis,720,67.42708333333333,84.36602666358064,-37.25577777777777,0.0,29.034972530864195,0.3527777777777778,0.8,84.93100000000003
B1_weekly_naive,2022-12,crisis,744,115.77817204301074,141.63415594448793,52.47115591397851,0.0,53.30344348864994,0.24059139784946237,0.8,89.84399999999998
B1_weekly_naive,2023-01,post-crisis,744,61.32815860215054,75.64212670280799,-21.497002688172042,0.0,26.348329002389484,0.44623655913978494,0.8,95.64500000000012
B1_weekly_naive,2023-02,post-crisis,672,36.886562500000004,50.09485248987308,2.3389732142857165,0.0,15.515787996031744,0.7113095238095238,0.8,100.29799999999999
B1_weekly_naive,2023-03,post-crisis,741,33.30609986504724,44.92623360117165,10.454278002699056,0.0,13.796626975558556,0.7732793522267206,0.8,101.32400000000004
B1_weekly_naive,2023-04,post-crisis,719,31.882962447844232,43.004969119680815,-3.9225730180806675,0.0,13.021747025189306,0.8011126564673157,0.8,101.64199999999995
B1_weekly_naive,2023-05,post-crisis,744,20.489932795698927,30.0862331362362,9.06369623655914,0.0,8.708955585424139,0.9032258064516129,0.8,101.8540000000005
B1_weekly_naive,2023-06,post-crisis,720,21.37563888888889,30.39315312606516,-9.166388888888887,0.0,8.720578395061729,0.8986111111111111,0.8,100.26300000000002
B1_weekly_naive,2023-07,post-crisis,744,31.859274193548387,56.3271751914985,4.152607526881722,0.0,13.60030839307049,0.7916666666666666,0.8,99.053
B1_weekly_naive,2023-08,post-crisis,744,30.261505376344083,41.46664023224618,-6.672473118279571,0.0,12.345650866188768,0.8010752688172043,0.8,99.097
B1_weekly_naive,2023-09,post-crisis,720,26.370486111111113,46.900061047401636,1.2771250000000003,0.0,11.57944675925926,0.8444444444444444,0.8,99.08500000000002
B1_weekly_naive,2023-10,post-crisis,745,34.678644295302014,46.94794909144187,2.2145637583892634,0.0,14.244809843400446,0.7463087248322148,0.8,98.67000000000003
B1_weekly_naive,2023-11,post-crisis,720,41.86740277777778,52.015930029228116,-5.028624999999998,0.0,17.012454475308644,0.6402777777777777,0.8,99.34000000000002
B1_weekly_naive,2023-12,post-crisis,744,33.34639784946237,44.253714275194326,21.78180107526882,0.0,13.86830017921147,0.7446236559139785,0.8,100.80999999999997
B1_weekly_naive,2024-01,post-crisis,744,34.842029569892475,44.32799204979475,-11.453481182795699,0.0,14.037943339307049,0.7258064516129032,0.8,101.19999999999995
B1_weekly_naive,2024-02,post-crisis,696,20.14081896551724,26.025006942373228,2.162571839080459,0.0,8.156448243933589,0.9224137931034483,0.8,102.01200000000004
B1_weekly_naive,2024-03,post-crisis,745,16.651892617449665,22.249071383985097,0.4925369127516776,0.0,6.93610812826249,0.9557046979865772,0.8,100.94600000000003
B1_weekly_naive,2024-04,post-crisis,718,29.955612813370475,37.84761289448233,-2.581350974930363,0.0,11.914934911792015,0.786908077994429,0.8,99.5410000000002
B1_weekly_naive,2024-05,post-crisis,744,34.262029569892476,46.09497139351338,-3.127432795698925,0.0,13.964701224611709,0.7567204301075269,0.8,99.67599999999999
B1_weekly_naive,2024-06,post-crisis,720,22.60890277777778,30.726347237889073,1.7932916666666667,0.0,9.245682253086422,0.8791666666666667,0.8,100.1060000000001
B1_weekly_naive,2024-07,post-crisis,744,28.412809139784944,37.31421127809687,0.4684274193548384,0.0,11.459724462365593,0.8010752688172043,0.8,99.44400000000009
B1_weekly_naive,2024-08,post-crisis,744,30.521559139784948,42.55365479356999,-2.629704301075268,0.0,12.688295698924732,0.7580645161290323,0.8,99.43000000000002
B1_weekly_naive,2024-09,post-crisis,720,33.81843055555555,56.88690972617905,8.314958333333333,0.0,14.37487484567901,0.7763888888888889,0.8,99.698
B1_weekly_naive,2024-10,post-crisis,745,31.87197315436242,42.46898437162169,-13.908322147651008,0.0,12.877326025354215,0.7798657718120805,0.8,99.89199999999997
B1_weekly_naive,2024-11,post-crisis,720,35.184916666666666,69.12666902345127,5.5302500000000006,0.0,14.896531790123456,0.8069444444444445,0.8,100.03600000000006
B1_weekly_naive,2024-12,post-crisis,744,74.07298387096773,125.4761340531955,-2.552311827956992,0.0,32.339519772998806,0.4905913978494624,0.8,99.97000000000003
B1_weekly_naive,2025-01,post-crisis,744,54.44806451612903,75.07920782467437,-1.5037903225806448,0.0,22.836039277180404,0.5860215053763441,0.8,102.29499999999999
B1_weekly_naive,2025-02,post-crisis,672,37.98104166666667,48.34311177049696,-1.2375595238095256,0.0,15.194659722222221,0.7291666666666666,0.8,103.84999999999995
B1_weekly_naive,2025-03,post-crisis,742,35.71250673854448,47.98254678481409,5.381725067385446,0.0,14.78673075771189,0.7115902964959568,0.8,104.27
B1_weekly_naive,2025-04,post-crisis,718,26.394791086350974,35.901531120118015,3.9438440111420596,0.0,10.806755091303001,0.8370473537604457,0.8,104.81500000000008
B1_weekly_naive,2025-05,post-crisis,744,27.856639784946235,45.22110954990745,2.5938172043010757,0.0,12.029706989247313,0.7997311827956989,0.8,104.58000000000001
B1_weekly_naive,2025-06,post-crisis,720,27.993861111111112,39.391459328838735,-3.0441944444444453,0.0,11.541538580246915,0.8430555555555556,0.8,104.525
B1_weekly_naive,2025-07,post-crisis,744,18.841787634408604,36.978836465889074,-2.9530510752688173,0.0,8.412364545997612,0.9247311827956989,0.8,104.29500000000006
B1_weekly_naive,2025-08,post-crisis,744,20.05494623655914,30.896925804900857,-0.9940053763440857,0.0,8.701879002389486,0.8830645161290323,0.8,103.442
B2_daily_naive,2020-10,pre-crisis,745,11.159744966442956,15.877235034759462,0.6637449664429529,-0.01229632948659587,4.560968978374349,0.7436241610738255,0.8,30.226000000000003
B2_daily_naive,2020-11,pre-crisis,720,9.476333333333335,13.542118330929208,-0.706638888888889,0.23840692949948628,3.9574325617283943,0.7875,0.8,30.431
B2_daily_naive,2020-12,pre-crisis,744,13.914583333333335,20.209493440816583,0.17802419354838686,0.029149567487677053,5.852537753882915,0.7137096774193549,0.8,30.503000000000043
B2_daily_naive,2021-01,pre-crisis,744,9.278185483870967,13.223805630357033,-0.04944892473118259,0.34837683485156,3.8229196833930703,0.8104838709677419,0.8,30.819999999999997
B2_daily_naive,2021-02,pre-crisis,672,9.886562500000002,13.678207788433815,0.22007440476190446,0.28958908298857666,3.987469742063492,0.7901785714285714,0.8,30.786000000000005
B2_daily_naive,2021-03,pre-crisis,741,11.505695006747638,17.140318128117208,-0.5275843454790827,0.24628789459353384,4.859481421502474,0.728744939271255,0.8,30.821000000000005
B2_daily_naive,2021-04,pre-crisis,719,13.727301808066759,20.37648995379906,-0.3447148817802503,0.2528949579513885,5.761811312007418,0.6981919332406119,0.8,31.050000000000008
B2_daily_naive,2021-05,pre-crisis,744,20.12532258064516,28.099880902246365,0.05446236559139737,0.103657507234439,8.670827807646356,0.5604838709677419,0.8,31.422000000000025
B2_daily_naive,2021-06,pre-crisis,720,12.021055555555556,20.001268001470972,-0.8306388888888887,0.04003708904253933,5.1921783950617275,0.7736111111111111,0.8,32.257
B2_daily_naive,2021-07,pre-crisis,744,13.821666666666665,20.573319369816655,2.017849462365591,-0.051598619455451855,5.857688769414576,0.6935483870967742,0.8,32.329999999999984
B2_daily_naive,2021-08,pre-crisis,744,17.255443548387095,24.990199302044672,-2.5881048387096772,0.12404971568230116,7.276842891278376,0.6061827956989247,0.8,32.692999999999984
B2_daily_naive,2021-09,crisis,720,21.59822222222222,31.695658220014934,-0.0838888888888887,0.10193879837467135,9.360146913580246,0.6013888888888889,0.8,33.30000000000001
B2_daily_naive,2021-10,crisis,744,48.73623655913979,64.5611072084308,1.661505376344086,0.18441149479063557,22.354567861409798,0.26881720430107525,0.8,34.09599999999998
B2_daily_naive,2021-11,crisis,720,51.13945833333334,69.42477632200993,-2.0839861111111113,0.08429081326604615,23.477264969135803,0.2847222222222222,0.8,36.194000000000024
B2_daily_naive,2021-12,crisis,744,72.82192204301076,97.2206142261545,3.603588709677419,0.3136146736270332,34.05651406810036,0.1827956989247312,0.8,38.144000000000005
B2_daily_naive,2022-01,crisis,744,63.96375,79.66136237712465,-5.905631720430107,0.20187853346593698,29.580542562724013,0.21505376344086022,0.8,40.72
B2_daily_naive,2022-02,crisis,672,53.46587797619048,65.20943157868712,-0.46763392857142994,0.2150957616695539,24.225453802910053,0.26339285714285715,0.8,43.558000000000014
B2_daily_naive,2022-03,crisis,741,62.26935222672064,88.3307843237241,0.002604588394062471,0.5135171979556197,28.694344729344728,0.34547908232118757,0.8,45.99999999999998
B2_daily_naive,2022-04,crisis,719,53.573240611961054,73.94229946807084,0.3532684283727396,0.31295605498326406,24.333243393602228,0.37830319888734354,0.8,48.419999999999995
B2_daily_naive,2022-05,crisis,744,37.678709677419356,55.21714492391278,-0.28693548387096807,0.1394898385800596,16.655449880525687,0.5524193548387096,0.8,50.88600000000004
B2_daily_naive,2022-06,crisis,720,40.57038888888889,60.64304489524472,-3.8435833333333322,0.308295852097631,17.946481481481484,0.5013888888888889,0.8,52.25
B2_daily_naive,2022-07,crisis,744,79.53356182795699,109.57280528334249,0.24788978494623604,-0.11863664376699035,36.761306003584224,0.2768817204301075,0.8,54.10000000000001
B2_daily_naive,2022-08,crisis,744,79.88275537634408,116.9868459549128,-9.248319892473118,0.15266707812364777,36.76796669653524,0.29435483870967744,0.8,57.210000000000036
B2_daily_naive,2022-09,crisis,720,74.81954166666667,101.94322388044675,9.633486111111113,0.4723052706613964,34.2384063271605,0.32083333333333336,0.8,60.36199999999998
B2_daily_naive,2022-10,crisis,745,54.238523489932895,80.75323093916488,5.472241610738253,0.43698326236122675,24.13283624161074,0.4671140939597315,0.8,63.672
B2_daily_naive,2022-11,crisis,720,49.50729166666667,63.73277820648231,-8.282652777777779,0.26576548740923833,21.513881327160494,0.4152777777777778,0.8,66.137
