model,n,mae,rmse,bias,skill,pinball,coverage,nominal_coverage,interval_width
N-HiTS,23369,16.312434295414963,28.296405018000605,0.4570557491250119,0.5060876578071354,6.66722216152715,0.8139400921658986,0.8,49.631131357143055
LightGBM_anchored,23369,17.63608711262518,28.755246964040516,2.654386478322058,0.4605244710067371,7.187115584389911,0.8319996576661389,0.8,66.07077544517212
SARIMAX,23369,14.756025898090947,24.586659294815053,0.1561231759691888,0.5486235225322633,8.901204897644568,0.8620822457101288,0.8,125.2526023077275
LightGBM,23369,17.15730688421279,27.27191837265281,1.5928139342160728,0.4751700222191365,9.917898709047776,0.7957550601223844,0.8,102.21339893796655
B2_daily_naive,23369,26.91947622919252,41.527929012168556,-0.0551944884248363,0.1765521123691307,11.497795737372872,0.8453506782489623,0.8,113.38743225640808
ARIMA,23369,24.70583037667407,36.81551073421287,0.08336656231588938,0.24426598561464408,13.983594080869914,0.8696135906542856,0.8,172.19695684629852
B1_weekly_naive,23369,32.691171637639606,50.647163438511775,-0.3352745089648681,0.0,14.169345051326307,0.8591296161581582,0.8,154.5910755530832
SARIMA,23369,22.36248835351433,33.78512654656496,-0.29408277171127784,0.3159471737083033,14.578950004819522,0.8660190851127563,0.8,179.74976436524184
