model,n,mae,rmse,bias,skill,pinball,coverage,nominal_coverage,interval_width
ARIMA,43091,30.72470255487494,48.187755487739025,-0.9136756278261946,0.2765410029535512,20.3649448957015,0.5136803508853357,0.8,56.340356291626684
B1_weekly_naive,43091,42.469169200064975,68.55471660477825,-0.18422060291011977,0.0,18.638842078907945,0.6257223086027245,0.8,77.1913884337797
B2_daily_naive,43091,32.164818871690144,52.22599039431561,0.0014659673713768554,0.242631314020597,14.038810516503833,0.6437307094288831,0.8,60.610419646794
LightGBM,43091,41.34613200057179,77.34208660421339,-29.29116713756122,0.02644358768128352,18.787362482220093,0.5428975888236522,0.8,47.12402511784953
LightGBM_anchored,43091,23.906619348532818,41.639834553342965,-1.758020791520443,0.4370829522020355,10.060712798013164,0.6459353461279618,0.8,49.941110033897935
N-HiTS,43091,18.879222369516707,32.20241394013749,-0.8308772853727852,0.563073026390668,7.706078245385165,0.6933979281554399,0.8,46.659267476054985
SARIMA,43091,27.88932982737546,43.899838527638146,-0.9255641098631817,0.3433040873487869,20.748189376165406,0.47529646561927086,0.8,49.379646391420046
SARIMAX,43091,20.159142984155313,35.08461927293469,-0.13561710612645012,0.5253228785995543,15.524370271169845,0.575526211970017,0.8,41.88193429259373
